title_translated,listed_price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badge_product_quality,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_price,countries_shipped_to,has_urgency_banner,urgency_text,merchant_rating_count,merchant_rating,merchant_id,product_picture,product_id
Women's Fashion Summer Loose Sleeveless Pockets Solid Color Maxi Dress Casual Dress Plus Size,5.79,5,1000,0,3.46,613,245.0,101.0,81.0,61.0,125.0,0,"('summer', 'plus size', 'long dress', 'plus size dress', 'dress', ""women's fashion"", 'maxi dress', 'casual', 'beach dress', 'sleeveless dress', 'summer dresses', 'women dress', 'fashion', 'loose dress', 'sleeveless')",grey,XXS,2,2,25,1,QuantityLimited,9470,3.956810982,5952a218e81e8a4c30b5bbbc,https://contestimg.wish.com/api/webimage/5cac5af68de7960d89e54fe0-medium.jpg,5cac5af68de7960d89e54fe0
Summer Sexy Women Fashion Casual Loose Tops Casual T-Shirt Summer V-Neck Solid Color Plus Size Short Sleeve Blouse,6.0,8,100,1,3.31,13,3.0,4.0,3.0,0.0,3.0,0,"('summer', 'plus size', 'cotton t shirt', 'womens shirt', 'summer t-shirts', 'short sleeves', 'v-neck', 't shirts', 'fashion', 'sexy', 'casual', 'women', 'blouse', 'shorts', 'sleeve', 'pure color', ""women's fashion"", 'pullovers', 'tops')",blue,XS,2,2,40,1,QuantityLimited,3515,3.983783784,56cd27b048e91e13aa3986e4,https://contestimg.wish.com/api/webimage/5ec49d527d7044ccfa3f1c04-medium.jpg,5ec49d527d7044ccfa3f1c04
New Women's Summer Causal Shorts Drawstring Short Pants Loose Short Pants,1.91,6,1000,1,3.45,141,49.0,29.0,24.0,14.0,25.0,0,"('summer', 'women', 'shorts', 'pants', 'loose', 'short pants', 'drawstring', 'causal')",orange,XS,1,1,38,0,noText,557,4.123877917,5d3c419de4b65d4fb81e7286,https://contestimg.wish.com/api/webimage/5e9da39dc737cf255eddd4bf-medium.jpg,5e9da39dc737cf255eddd4bf
Women Fashion Sleeveless Deep Neck Cross Spaghetti Strap Solid Color Tank Top Loose Blouse Beach Vest Top and Blouse Summer Casual T-shirts Plus Size,5.79,42,1000,0,3.32,121,36.0,24.0,23.0,19.0,19.0,0,"('summer', 'vest', 'summer t-shirts', 'looseblouse', 'cross', 'tank top', 'spaghetti strap', 'sleeveless shirt', 'plus size', 'topandblouse', 'deepneck', 'spaghetti', 'casual', 'women fashion', 'women', 'blouse', 'tank', 'necks', 'beach', 'tops', 'beachvest', ""women's fashion"", 't shirts', 'fashion', 'sleeveless')",red,S,50,2,43,0,noText,5083,3.947471965,566eaa533a698c6442549a74,https://contestimg.wish.com/api/webimage/5d1db3c0e2b5cc0f74e091af-medium.jpg,5d1db3c0e2b5cc0f74e091af
2019 Summer Women's Fashion New Sleeveless Polka Dot V-neck Strap Mini Backless Casual Top Dresses,2.0,2,20000,1,3.65,2457,984.0,481.0,459.0,206.0,327.0,0,"('summer', 'fashion', 'mini', 'dress', 'loose', 'polkas', 'v-neck', 'tops', ""women's fashion"", 'black', 'polka dot', 'sleeveless', 'backless', 'casual', 'women fashion')",yellow,S,1,1,36,0,noText,55499,4.138885385,5926c5ace8ff5525241b368d,https://contestimg.wish.com/api/webimage/5cc2ce18bc97595b6549fa14-medium.jpg,5cc2ce18bc97595b6549fa14
Summer Fashion Flare Sleeve Plus Size T-shirt Off The Shoulder Cute Solid Color Top Long Sleeve Shirt,11.0,81,1000,0,3.92,426,204.0,94.0,62.0,21.0,45.0,0,"('summer', 'plus size', 'shirt', 'sleeve', 'cute', 'long sleeve', 'flare', 'tops', 'topsamptshirt', ""women's fashion"", 'clothes for women', 'cuteshirt', 'fashion', 'long sleeve t shirt', 'solidcolorshirt', 'summer fashion', 'loose t-shirt', 't shirts')",black,S,50,3,41,0,noText,39381,4.066326401,566012f6769a5629aefca555,https://contestimg.wish.com/api/webimage/5c85d47641ec3b55d4d14f79-medium.jpg,5c85d47641ec3b55d4d14f79
New Summer Women's Fashion Sleeveless Polka Dot V-neck Dress Strap Mini Backless Party Dress Casual Top Dresses,11.0,10,10000,0,3.72,2058,840.0,435.0,386.0,158.0,239.0,0,"('summer', 'fashion women', 'fashion', 'mini', 'dresses', 'tops', 'polkas', 'v-neck', 'mini dress', ""women's fashion"", 'party dress', 'backless', 'party', 'sexy dress', 'dress', 'sleeveless', 'polka dot', 'casual', 'casual dress')",red,L,50,2,34,0,noText,6302,3.9584258969999997,5b8beef49996c87b299cdbec,https://contestimg.wish.com/api/webimage/5cd3e795ebe403118bbc0f89-medium.jpg,5cd3e795ebe403118bbc0f89
2018 New Fashion Women's Tops Sexy Strappy Sleeveless Lace Crop Tops,5.0,25,100000,1,3.83,17980,8290.0,3483.0,2951.0,1410.0,1846.0,0,"('blouse', 'plus size', 'lace', 'lace top', 'tops', 'fashion', 'strappy', 'sexy', 'sleeveless', 'summer tops', 'women fashion')",white,S,50,1,41,1,QuantityLimited,139223,3.933581377,5708773c3c02161b3f8c7900,https://contestimg.wish.com/api/webimage/5b07a7c6e997b33c6f9947da-medium.jpg,5b07a7c6e997b33c6f9947da
5 Color Plus Size Summer New Women Fashion Ladies Casual Sleeveless Tops Summer Sexy Cutout Back Open Double Layer Tank Top(S-5XL),9.0,9,20000,0,3.82,5479,2456.0,1162.0,853.0,431.0,577.0,0,"('summer', 'fashion', 'tunic', 'women vest', 'tank', 'tops', 'topsamptshirt', 'tank top', 'doublelayer', ""women's fashion"", 'backless', 'sexy', 'ladies', 'sleeveless', 'casual', 'women')",blue,S,50,3,43,0,noText,22089,4.081624338,59cdc2112351344fc0dfa54f,https://contestimg.wish.com/api/webimage/5a8f82375e2ae101c8913122-medium.jpg,5a8f82375e2ae101c8913122
S~5XL Zipper Vest Tee New V-neck Sleeveless Plus Size Slim Fit Tank Tops Summer Solid Color Casual Tops Blouses,7.0,7,1000,0,3.67,214,87.0,36.0,49.0,17.0,25.0,0,"('blouse', 'summer', 'vest', 'plus size', 'tank', 'zippers', 'tops', 'slim fit', 'tank top', ""women's fashion"", 'v-neck', 'topsampblouse', 'sleeveless', 'women top', 'slim', 'casual')",red,S,7,2,41,1,QuantityLimited,3592,4.062360802,5ae296b6cd968d66be12d247,https://contestimg.wish.com/api/webimage/5cf648ce373ac2069fd6317d-medium.jpg,5cf648ce373ac2069fd6317d
Top Swimsuit Sets Fashion Swimwear Women Bikini 2016 Sexy Padded,11.0,10,5000,0,3.84,1183,506.0,274.0,216.0,81.0,106.0,0,"('fashion', 'floral print', 'tops', 'sexy bikini', 'swimwear', 'swimsuit', 'padded', 'bikini', 'sexy', 'women', ""women's fashion"", 'swimming')",green,S,50,3,69,0,noText,23609,4.25659706,5576bb43de4a8c24953ae98f,https://contestimg.wish.com/api/webimage/57416238fc6f7d5d698f3c9f-medium.jpg,57416238fc6f7d5d698f3c9f
Summer Women Fashion Vest Solid Color Women Sleeveless Cotton T-shirt Lace Up Hollow Sexy Slim Tank Tops Tee,5.0,6,20000,0,3.6,3552,1437.0,632.0,610.0,358.0,515.0,0,"('summer', 'vest', 'fashion', 'tank', 'lace', 'tops', 'slim', ""women's fashion"", 'tank top', 't shirts', 'lace up', 'topsamptee', 'sexy', 'sleeveless', 'women', 'women fashion', 'cotton')",black,S,11,2,41,0,noText,12913,3.981336637,55ed5a3362e273427107759e,https://contestimg.wish.com/api/webimage/5c244b73e6a1c618296f73db-medium.jpg,5c244b73e6a1c618296f73db
Dew Design Women Summer Fashion Sexy V-Neck Vest Button Spaghetti Strap Tank Top Cotton Sleeveless Tank Top Solid Color Camisole Casual Loose Tops Holiday Beach Wear Plus Size S-5XL 5 Colors,11.0,26,1000,0,3.38,72,27.0,11.0,11.0,8.0,15.0,0,"('women vest', 'vest', 'fashion', 'buttontop', 'camisole', 'summer', 'spaghetti strap', 'tank top', ""women's fashion"", 'plus size', 'design', 'v-neck', 'sleeveless', 'sexy', 'spaghetti', 'summer tops', 'cotton', 'tank', 'tops', 'casual', 'cotton vest', 'women', 'sleevelesstshirt', 'casual tops', 'holiday', 'beach', 'button')",green,S,2,2,51,0,noText,4516,4.231842338,5ae93337d204cc177313f242,https://contestimg.wish.com/api/webimage/5e1056784fff5f26e6f1745d-medium.jpg,5e1056784fff5f26e6f1745d
Summer Fashion Women Short Sleeve U-neck Slim T-shirt Casual Style Cotton Pullover Women Fashion Tee Plus Size Blouse Tops Tee,7.0,6,5000,1,3.67,510,213.0,98.0,85.0,45.0,69.0,0,"('blouse', 'summer', 'shorts', 'sleeve', 'fashiontee', 'tops', 'slim', 'short sleeves', 'pullovers', ""women's fashion"", 'plus size', 'summer fashion', 'cotton', 'fashion', 'casual', 't shirts', 'women')",green,M,50,2,138,1,QuantityLimited,96838,4.264658502,5cb636dda7173671aedef051,https://contestimg.wish.com/api/webimage/5d15731024c17f6b8b9bd97a-medium.jpg,5d15731024c17f6b8b9bd97a
New Ladies Fashion Summer Tank Tops Sexy Backless Shirts Summer Vest Tops,5.71,5,1000,0,3.75,678,290.0,145.0,104.0,61.0,78.0,0,"('summer', 'vest', 'fashion', 'tank', 'shirt', 'backless top', 'summer shirt', 'topsamptshirt', 'tank top', 'ladies', 'sleeveless shirt', 'backless', 'v-neck', 'solid color', 'sexy', 'summervest', 'tops', 'women fashion', 'ladies fashion')",black,XXS,19,2,43,0,noText,80093,4.00669222,583138b06339b410ab9663ec,https://contestimg.wish.com/api/webimage/5c63adf7edc5d6528e8b1ca3-medium.jpg,5c63adf7edc5d6528e8b1ca3
2018 Summer Fashion Women Casual Camouflage Tank Top Sleeveless O-neck Vest,9.0,32,1000,0,4.15,567,323.0,116.0,58.0,28.0,42.0,0,"('summer', 'vest', 'fashion', 'tank', 'slim t-shirt', 'camouflage', 'tops', 'camouflagevest', 'tank top', 'cool t-shirts', ""women's fashion"", 'sleeveless tops', 'women', 'casual t-shirt', 'casual tops', 'military', 'casual', 'sleeveless', 't')",green,M,50,3,41,0,noText,9395,4.110058542,575cfe470551415caa5505b5,https://contestimg.wish.com/api/webimage/5bed2a42bdf0421a30e62c6c-medium.jpg,5bed2a42bdf0421a30e62c6c
New Women Lace Crochet Bikini Cover Up Swimwear Bathing Suit Summer Swimwear,9.0,9,1000,0,4.03,216,105.0,48.0,39.0,12.0,12.0,0,"('summer', 'midsleevebeachblouse', 'summerswimsuit', 'womensummerswimwear', 'crochet', 'cover', 'womenbeachblouse', 'swimsuit', 'bikini', 'beachblouse', 'swimwear', 'bikinibeachcoverup', 'women', 'women fashion dress', 'women bathing suit', 'budsilkblouse', 'suits', ""women's fashion"", 'lace')",others,M,5,3,60,0,noText,4298,4.229409027,5a0fe8770a332a615df86c5e,https://contestimg.wish.com/api/webimage/5b5edbae1e222732845e655f-medium.jpg,5b5edbae1e222732845e655f
" Spring/Summer Fashion Women ""honey""Letter Print Sleeveless Shirt Sexy Embroidered Bodycon Vest Knitted Cotton Vest Casual Tank Top ",5.65,5,20000,0,4.29,2996,1781.0,628.0,374.0,104.0,109.0,1,"('women vest', 'vest', 'fashion', 'yoga top', 'low cut', ""women's fashion"", 'off shoulder', 'sportwear', 'sleeveless', 'sexy', 'casual', 'sexyvest', 'knitted', 'tank', 'shirt', 'tops', 'slim fit', 'beach wear', 'soildcolor', 'women', 'print', 'lace up', 'cotton', 'tank top')",white,S,50,2,43,1,QuantityLimited,40943,4.017487727,56c6f731bc435416ed5984d7,https://contestimg.wish.com/api/webimage/5a4f2d8f5dcd0221008b2c36-medium.jpg,5a4f2d8f5dcd0221008b2c36
2020 New Fashion Summer Women Sleeveless Black White Pink Scalloped Trim Deep V Neck Lace Vest Solid Slim Tank Tops Tee,1.74,2,100,1,4.25,12,7.0,3.0,1.0,0.0,1.0,0,"('pink', 'vest', 'fashion', 'lace', 'summer', 'outweartop', 'slim', 'tank top', ""women's fashion"", 'sleeveless tops', 'summerwomentop', 'women', 'deep v-neck', 'tank', 'necks', 'women fashion', 'lace top', 'tops', 'lace vest', 'black', 'blackwhitepink', 'scallopedtrimtop', 'sleeveless', 'white')",pink,XS,50,1,41,0,noText,18138,3.8315139489999996,58ba636a69ad29505a730852,https://contestimg.wish.com/api/webimage/5e5e09065b03ef0b420f333f-medium.jpg,5e5e09065b03ef0b420f333f
4 Color Women's Fashion Casual Solid Color tops Sleeveless Sheath Summer Fashion Plus Size Brief Pullover Strapless Short Cotton Tunic Top Crop Top,5.65,6,1000,0,4.06,301,156.0,70.0,34.0,18.0,23.0,0,"('summer', 'strapless', 'plus size', 'tunic', 'tunic top', 'tops', 'shorts', 'slim fit shirt', ""women's fashion"", 'fashion', 'topsamptee', 'women tank top', 'solid color', 'sleeveless', 'pullovers', 'casual', 'cotton')",white,XXL,50,2,54,0,noText,7034,4.060278647,5adef3559d5e9767b3177472,https://contestimg.wish.com/api/webimage/5cc0049aca0c3b3d01a87964-medium.jpg,5cc0049aca0c3b3d01a87964
HODMEXI Fashion Love Graffiti Print Summer Dress Short Sleeve Party Dresses Plus Size Women Clothing Vestidos,14.0,76,100,0,4.06,31,17.0,4.0,6.0,3.0,1.0,0,"('summer', 'plus size', 'love', 'plus size dress', 'dress', 'short sleeves', ""women's fashion"", 'party dress', 'graffiti', 'uniquedres', 'clothing', 'bodycon dress', 'casual dress', 'shorts', 'sleeve', 'summer dress', 'cotton dress', 'women clothing', 'print dress', 'print', 'party', 'short sleeved', 'women', 'fashion')",others,S,50,4,36,1,QuantityLimited,51369,3.9682687999999993,539937d634067e06707b1a8e,https://contestimg.wish.com/api/webimage/5c9d920da94960780239d468-medium.jpg,5c9d920da94960780239d468
Sweet Beading Cami Tank Tops for Women Spaghetti Strap Summer Vest Tops,5.65,6,1000,1,4.37,217,137.0,42.0,24.0,9.0,5.0,1,"('tank top women', 'vest', 'beading', 'cotton shirt', 'camisole', 'women vest', 'sweets', 'tops', 'spaghetti strap', ""women's fashion"", 'spaghetti', 'cami', 'summer', 'bandages', 'tank', 'women', 'cool tees', 'shirt')",black,XXS,10,2,38,0,noText,44837,4.065905391,54d30f53dc8ce133f79b434d,https://contestimg.wish.com/api/webimage/5c9ee457c233fd74ef4c8a84-medium.jpg,5c9ee457c233fd74ef4c8a84
Summer Women Sling Dresses Casual Backless Dress Ladies Floral Printed Dress Swallowtail Dresses Slim Beach Dress,8.0,7,1000,0,3.81,443,215.0,76.0,65.0,29.0,58.0,0,"('summer', 'camisole', 'chiffon', 'dress', 'slim', 'beach dress', 'ladies', ""women's fashion"", 'backless', 'printed', 'floral', 'robes', 'beach', 'casual', 'women')",brown,S,4,2,46,0,noText,3460,3.8708092489999997,5d49403060c79c113a908720,https://contestimg.wish.com/api/webimage/5dc4488112f5e91a9d4bb52e-medium.jpg,5dc4488112f5e91a9d4bb52e
Solid Color T-shirts Bandeau Yoga Vest Off Shoulder Women Strapless Bra Tube Crop Top,2.66,3,5000,0,3.44,1136,418.0,187.0,201.0,133.0,197.0,0,"('vest', 'fashion', 'yoga', 'sexy crop top', 'girl bra', 'tops', 'strapless', 'topbra', 'tee', ""women's fashion"", 'straplesstanktop', 't shirts', 'casual', 'bras', 'women')",black,M,50,1,22,0,noText,223392,4.306362806,547bdd648edcfa5656cac810,https://contestimg.wish.com/api/webimage/5b582d5ec4561c4f6b53feeb-medium.jpg,5b582d5ec4561c4f6b53feeb
Women Fashion Vest Plus Size Loose Casual Pure Color Lace Sleeveless Camisole Summer Tank Tops,9.0,8,10000,0,3.8,1231,555.0,240.0,211.0,87.0,138.0,0,"('summer', 'vest', 'plus size', 'tank', 'lace', 'tops', 'loose', 'beach wear', ""women's fashion"", 'pure color', 'sleeveless', 'fashion', 'casual', 'women fashion', 'women')",yellow,S,50,3,45,0,noText,10600,3.86754717,582833faea77701b456c786a,https://contestimg.wish.com/api/webimage/5cae1d6c836ecb39e57e9e80-medium.jpg,5cae1d6c836ecb39e57e9e80
Floral Print Cold Shoulder Ruffled Summer Short Sleeve Flowy Blouse Plus Size Sexy Tops,11.0,10,1000,0,4.16,274,162.0,47.0,34.0,10.0,21.0,1,"('blouse', 'summer', 'plus size', 'floral print', 'ruffled', 'sleeve', 'tops', 'sexyblouse', 'short sleeves', 'floral', ""women's fashion"", 'shorts', 'print', 'sexy', 'fashion')",white,S,50,3,31,0,noText,13946,4.00014341,559d33adc605853731afbf10,https://contestimg.wish.com/api/webimage/5b10cf0b7cc4492c87411045-medium.jpg,5b10cf0b7cc4492c87411045
Summer fashion female butterfly tank vest sleeveless round neck casual top,8.0,17,100,1,2.75,8,2.0,0.0,3.0,0.0,3.0,0,"('butterflyprint', 'vest', 'plus size', 'necks', 'tops', 'spaghetti strap', 'tank top', 'casual', 'round neck', 'fashion', 'sleeveless tops', 'casual tops', 'summervest', 'womens vest')",blue,S,50,3,40,0,noText,47981,4.025364207,5684eae9daaaee26a0fdadba,https://contestimg.wish.com/api/webimage/5eb4dcebdaa4b90940076979-medium.jpg,5eb4dcebdaa4b90940076979
New Women Ladies Fashion Summer Skinny High Wasist Washed Short Jeans Pants,14.0,12,5000,1,4.06,643,365.0,109.0,73.0,33.0,63.0,0,"('women pants', 'womens jeans', 'shorts', 'ladies fashion', 'hot pants', 'pants', 'short pants', ""women's fashion"", 'skinnyshort', 'summerpant', 'fashion', 'summer', 'denim shorts', 'solid color', 'sexy', 'jeans', 'ladies', 'women fashion', 'women')",blue,XXS,2,3,43,0,noText,80093,4.00669222,583138b06339b410ab9663ec,https://contestimg.wish.com/api/webimage/5c80e8a150c63d28c67b8f14-medium.jpg,5c80e8a150c63d28c67b8f14
Women's Cotton Sleeveless Round Neck Shirt T-Shirt Loose Fit Pattern Print Sweatshirt,5.8,8,100,1,3.83,6,3.0,1.0,1.0,0.0,1.0,0,"('summer', 'fashion', 'shirt', 'necks', 'loose', 'round neck', 'womens t shirts', 't shirts', 'print', 'sleeveless', 'sweatshirts', 'cotton', 'graphicprint')",green,XS,1,1,43,0,noText,16741,3.9208529960000003,55dc3dcd8950c811f73a48a4,https://contestimg.wish.com/api/webimage/5e7adc5458a95b3323a3c6eb-medium.jpg,5e7adc5458a95b3323a3c6eb
5 Color Women's Fashion Summer Slim Sleeveless Camouflage Print Dress High Waist Lace Up Casual Pocket Mini Dresses Plus Size S-5XL,13.0,13,1000,0,4.16,138,82.0,27.0,10.0,7.0,12.0,1,"('summer', 'plus size', 'lace', 'mini', 'dress', 'slim', 'camouflage', 'mini dress', 'pocket', 'high waist', ""women's fashion"", 'fashion', 'lace up', 't', 'print dress', 'print', 'sleeveless', 'bodycon', 'casual', 'women fashion', 'waist')",pink,S,50,3,41,1,QuantityLimited,12913,3.981336637,55ed5a3362e273427107759e,https://contestimg.wish.com/api/webimage/5d2fd5a9af7a0c5b21369a05-medium.jpg,5d2fd5a9af7a0c5b21369a05
Sexy Women Casual Striped T-shirt Long Tops Blouse Kaftan Beach Shirt Mini Dress,9.0,81,50000,0,4.26,5359,3111.0,1172.0,650.0,204.0,222.0,1,"('blouse', 'mini', 'fashion', 'longtop', 'shirt', 'kaftandresse', 'stripetee', 'tops', 'short sleeves', 'mini dress', 't shirts', 'sexy dress', 'dress', 'tops & blouses', 'beach', ""women's fashion"", 'casual', 'women')",black,L,50,3,40,0,noText,59198,4.105054225,54bcaabb39b8c00b482a115f,https://contestimg.wish.com/api/webimage/556fbe8595528719e004fa27-medium.jpg,556fbe8595528719e004fa27
Women's Summer Fashion Spaghetti Strap Floral Print Tie Front Mini Dress Sexy Dress,7.0,68,10,0,1.5,2,0.0,0.0,0.0,1.0,1.0,0,"('mini', 'spaghettistrapdresse', 'floral print', 'summer', 'womensfahsion', 'spaghetti', 'dress', 'summer dress', 'print', 'minidressforwomen', 'mini dress', 'spaghettishoulderstrapdre', ""women's fashion"", 'floralprinteddre', 'sexy dress', 'floral', 'sexy', 'fashion')",white,S,50,2,43,0,noText,397,3.858942065,5d48eef4b5144c50c2ac0af3,https://contestimg.wish.com/api/webimage/5ea69521f5e1e65a3c70faa8-medium.jpg,5ea69521f5e1e65a3c70faa8
NEW Red Bull Summer Mens Casual Shorts Pants Loose Cotton Movement Dry Quickly Fitness Shorts,12.0,14,100,1,3.79,24,11.0,6.0,2.0,1.0,4.0,0,"('summer', 'shorts', 'pants', 'fitness', 'short pants', 'runningpant', ""men's fashion"", 'casual', 'red', 'cotton')",black,S,50,3,22,0,noText,196,4.020408163,5e5c7c2c77179e31406eece1,https://contestimg.wish.com/api/webimage/5ea7e2d999ecf941204c42ee-medium.jpg,5ea7e2d999ecf941204c42ee
Summer New Women Fashion Let It ~ Bee Printed Casual Round Neck Graphic Tee Cute Short Sleeve Cotton T-shirts,3.69,40,100,0,3.53,59,22.0,11.0,12.0,4.0,10.0,0,"('summer', 'shorts', 'cotton', 'cotton t shirt', 'letter print', 'cute', 'teeshirthomme', 'short sleeves', 'casual', 'round neck', ""women's fashion"", 'fashion', 'printed', 'beetshirt', 'women', 'sleeve', 't shirts', 'necks')",grey,XS,2,1,24,1,QuantityLimited,10917,4.364843822,58501ac7b9e3474c9f4b2afd,https://contestimg.wish.com/api/webimage/5e702eb03aa1f42076ffabc9-medium.jpg,5e702eb03aa1f42076ffabc9
